location,num_postings,side,dot_index,longitude,latitude,geometry
Knight Street between Douglas Avenue and Gramercy Place,1,middle,0,-122.18147454401458,37.72973758921258,POINT (-122.18147454401458 37.72973758921258)
105th Ave between Russet St & San Leandro St,1,middle,0,-122.17503238368334,37.73535284110204,POINT (-122.17503238368334 37.73535284110204)
Railroad Ave between 85th Ave and Louisana St | Railroad Ave between Louisiana St and 85th Ave,3,middle,0,-122.1858943963668,37.741224722824555,POINT (-122.1858943963668 37.741224722824555)
Railroad Ave between 85th Ave and Louisana St | Railroad Ave between Louisiana St and 85th Ave,3,middle,1,-122.18594709420863,37.74127079817009,POINT (-122.18594709420863 37.74127079817009)
Railroad Ave between 85th Ave and Louisana St | Railroad Ave between Louisiana St and 85th Ave,3,middle,2,-122.18599979205047,37.741316873515636,POINT (-122.18599979205047 37.741316873515636)
E 12th St between 22nd Ave and 23rd Ave,1,middle,0,-122.23851089474961,37.78350533011975,POINT (-122.23851089474961 37.78350533011975)
Lake Merritt: Amphitheater/ 12th St between Lake Merritt Blvd and 11th St,1,middle,0,-122.26209004436164,37.79901644204429,POINT (-122.26209004436164 37.79901644204429)
Poplar St between 20th St and 21st St,2,middle,0,-122.28758111934833,37.81500571347468,POINT (-122.28758111934833 37.81500571347468)
Poplar St between 20th St and 21st St,2,middle,1,-122.2876031118421,37.81493925799923,POINT (-122.2876031118421 37.81493925799923)
3902 Manila Ave/Manila between 38th & 40th St,6,middle,0,-122.25868285270711,37.82662293645318,POINT (-122.25868285270711 37.82662293645318)
3902 Manila Ave/Manila between 38th & 40th St,6,middle,1,-122.25864575537,37.82668229795232,POINT (-122.25864575537 37.82668229795232)
3902 Manila Ave/Manila between 38th & 40th St,6,middle,2,-122.2586086580329,37.82674165945145,POINT (-122.2586086580329 37.82674165945145)
3902 Manila Ave/Manila between 38th & 40th St,6,middle,3,-122.25857156069578,37.82680102095058,POINT (-122.25857156069578 37.82680102095058)
3902 Manila Ave/Manila between 38th & 40th St,6,middle,4,-122.25853446335869,37.82686038244972,POINT (-122.25853446335869 37.82686038244972)
3902 Manila Ave/Manila between 38th & 40th St,6,middle,5,-122.25849736602157,37.82691974394886,POINT (-122.25849736602157 37.82691974394886)
Bernhardt Dr between Islenton Ave and Kerwin Ave,1,middle,0,-122.18553441537377,37.72919641769406,POINT (-122.18553441537377 37.72919641769406)
Bernhardt Dr between Hunter Ave and Isleton Ave,1,middle,0,-122.18594620871923,37.729661867033215,POINT (-122.18594620871923 37.729661867033215)
Bernhardt Dr between Ghormley Ave and Hunter Ave,1,middle,0,-122.18635269794848,37.73012723960553,POINT (-122.18635269794848 37.73012723960553)
Bernhardt Dr between Foster Ave and Ghormley Ave,1,middle,0,-122.18675904874858,37.730585861460774,POINT (-122.18675904874858 37.730585861460774)
Bernhardt Dr between Saint Elmo Dr and Foster Ave,1,middle,0,-122.18696125264091,37.73088716384826,POINT (-122.18696125264091 37.73088716384826)
Moorpark St between Pippin St and Russet St,1,middle,0,-122.1730557056808,37.73267088238837,POINT (-122.1730557056808 37.73267088238837)
Coral Rd between Tunist Rd & Sextus Rd,1,middle,0,-122.19065978537388,37.733142072144695,POINT (-122.19065978537388 37.733142072144695)
Coral Rd between Cairo Rd & Sextus Rd,1,middle,0,-122.1912201626316,37.733792270067305,POINT (-122.1912201626316 37.733792270067305)
Russet St between 107th and Moorpark St,1,middle,0,-122.17375553333875,37.734091734538275,POINT (-122.17375553333875 37.734091734538275)
Cary Ave between Hale Ave and Edes Ave,1,middle,0,-122.17963030884866,37.73411441279542,POINT (-122.17963030884866 37.73411441279542)
Pearmain St between Gravenstein St and 105th Ave,1,middle,0,-122.1767031220908,37.734625384895885,POINT (-122.1767031220908 37.734625384895885)
San Leandro St between 106th Ave and 107th Ave,2,middle,0,-122.17384552756747,37.73493158295383,POINT (-122.17384552756747 37.73493158295383)
San Leandro St between 106th Ave and 107th Ave,2,middle,1,-122.17379178293899,37.73488673303843,POINT (-122.17379178293899 37.73488673303843)
Pearmain St between Apple St and Gravenstein St,1,middle,0,-122.17733422683469,37.7351822789431,POINT (-122.17733422683469 37.7351822789431)
Pearmain St between Tartarian St and Apple St,1,middle,0,-122.1775648736372,37.73538468379503,POINT (-122.1775648736372 37.73538468379503)
Russet St between 105th Ave and 107th Ave,1,middle,0,-122.17492058696656,37.73518250434665,POINT (-122.17492058696656 37.73518250434665)
San Leandro St between 105th Ave and 106th Ave,3,middle,0,-122.17443691178633,37.73544146875642,POINT (-122.17443691178633 37.73544146875642)
San Leandro St between 105th Ave and 106th Ave,3,middle,1,-122.17438408082519,37.73539554610902,POINT (-122.17438408082519 37.73539554610902)
San Leandro St between 105th Ave and 106th Ave,3,middle,2,-122.17433124986404,37.73534962346161,POINT (-122.17433124986404 37.73534962346161)
San Leandro St between Apple St and 105th Ave,2,middle,0,-122.17527149516056,37.73547383785132,POINT (-122.17527149516056 37.73547383785132)
San Leandro St between Apple St and 105th Ave,2,middle,1,-122.17532840092605,37.73551460222123,POINT (-122.17532840092605 37.73551460222123)
San Leandro St between Stone St and Apple St,2,middle,0,-122.17640923461529,37.73631217249728,POINT (-122.17640923461529 37.73631217249728)
San Leandro St between Stone St and Apple St,2,middle,1,-122.17646256990368,37.7363575084324,POINT (-122.17646256990368 37.7363575084324)
Pearmain St between Stone St and Tartarian St,1,middle,0,-122.17845541876977,37.736155658235226,POINT (-122.17845541876977 37.736155658235226)
Stone St between Pippin St and Pearmain St,1,middle,0,-122.17844362232844,37.73634997847377,POINT (-122.17844362232844 37.73634997847377)
Edes Ave between 98th Ave and Douglas Ave: 9910 Edes,3,middle,0,-122.18297372565083,37.73635265793874,POINT (-122.18297372565083 37.73635265793874)
Edes Ave between 98th Ave and Douglas Ave: 9910 Edes,3,middle,1,-122.18290627474542,37.73633393962256,POINT (-122.18290627474542 37.73633393962256)
Edes Ave between 98th Ave and Douglas Ave: 9910 Edes,3,middle,2,-122.18283882384002,37.73631522130639,POINT (-122.18283882384002 37.73631522130639)
98th Ave between Edes Ave and Walter Ave,1,middle,0,-122.18318489880875,37.73655173905516,POINT (-122.18318489880875 37.73655173905516)
Stone St between San Leandro St and Pippin St,1,middle,0,-122.17781042513612,37.73680798551613,POINT (-122.17781042513612 37.73680798551613)
Pearmain St between Douglas Ave and Stone St,1,middle,0,-122.17901509780296,37.73664345087295,POINT (-122.17901509780296 37.73664345087295)
Walter Ave between Nevada St and 98th Ave,2,middle,0,-122.18280969177464,37.7371028223346,POINT (-122.18280969177464 37.7371028223346)
Walter Ave between Nevada St and 98th Ave,2,middle,1,-122.18286244707744,37.73714883187737,POINT (-122.18286244707744 37.73714883187737)
E St between 104th Ave & 105th Ave,1,middle,0,-122.17308553087969,37.736936789281295,POINT (-122.17308553087969 37.736936789281295)
Pearmain St between Douglas Ave and 100th Ave | Pearmain St between 100th Ave and Douglas Ave,3,middle,0,-122.17957160202283,37.737130667467675,POINT (-122.17957160202283 37.737130667467675)
Pearmain St between Douglas Ave and 100th Ave | Pearmain St between 100th Ave and Douglas Ave,3,middle,1,-122.17951894629282,37.737084544001895,POINT (-122.17951894629282 37.737084544001895)
Pearmain St between Douglas Ave and 100th Ave | Pearmain St between 100th Ave and Douglas Ave,3,middle,2,-122.17946629056279,37.737038420536116,POINT (-122.17946629056279 37.737038420536116)
100th Ave between Pippin St and Pearmain St,1,middle,0,-122.17955863122785,37.73732524845035,POINT (-122.17955863122785 37.73732524845035)
Pearmain St between 100th Ave and Prune St,1,middle,0,-122.17980465523013,37.7373343483722,POINT (-122.17980465523013 37.7373343483722)
Clara St between Edes & Oscar Ave,1,middle,0,-122.187440993983,37.73782544875325,POINT (-122.187440993983 37.73782544875325)
Walter Ave between Tyler St and Nevada St,2,middle,0,-122.1835383410737,37.73773830313829,POINT (-122.1835383410737 37.73773830313829)
Walter Ave between Tyler St and Nevada St,2,middle,1,-122.18359109576319,37.737784313384296,POINT (-122.18359109576319 37.737784313384296)
E St between 103rd Ave and 104th Ave,1,middle,0,-122.17353209006008,37.73751731331333,POINT (-122.17353209006008 37.73751731331333)
98th Ave between Walter Ave and Railroad Ave,1,middle,0,-122.18195551299337,37.73754540819941,POINT (-122.18195551299337 37.73754540819941)
Railroad Ave between Nevada St and 98th Ave,3,middle,0,-122.18193576008609,37.7377760915428,POINT (-122.18193576008609 37.7377760915428)
Railroad Ave between Nevada St and 98th Ave,3,middle,1,-122.18198847016141,37.737822152892754,POINT (-122.18198847016141 37.737822152892754)
Railroad Ave between Nevada St and 98th Ave,3,middle,2,-122.18204118023674,37.7378682142427,POINT (-122.18204118023674 37.7378682142427)
Pippin St between 100th Ave and Stone St,1,middle,0,-122.17887596904187,37.73754463380639,POINT (-122.17887596904187 37.73754463380639)
100th Ave between San Leandro St and Pippin St,1,middle,0,-122.17892231267564,37.73778518579138,POINT (-122.17892231267564 37.73778518579138)
Pippin St between Prune St and 100th Ave,1,middle,0,-122.17916498385271,37.737797235823905,POINT (-122.17916498385271 37.737797235823905)
Prune St between Pippin St and Pearmain St,1,middle,0,-122.18012822729531,37.73782218586083,POINT (-122.18012822729531 37.73782218586083)
San Leandro St between 100th Ave and Stone St,2,middle,0,-122.17826455477817,37.7379870187448,POINT (-122.17826455477817 37.7379870187448)
San Leandro St between 100th Ave and Stone St,2,middle,1,-122.17821044319511,37.73794261225227,POINT (-122.17821044319511 37.73794261225227)
San Leandro St between Prune St and 100th Ave,2,middle,0,-122.17856236102381,37.738230616547746,POINT (-122.17856236102381 37.738230616547746)
San Leandro St between Prune St and 100th Ave,2,middle,1,-122.17861664691964,37.738274809777025,POINT (-122.17861664691964 37.738274809777025)
Prune St between San Leandro St and Pippin St,1,middle,0,-122.1794936598742,37.738281903517766,POINT (-122.1794936598742 37.738281903517766)
