location,num_postings,posting_ids,number_of_sweeps,geometry
Knight Street between Douglas Avenue and Gramercy Place,1,[ 2046 ],1,"LINESTRING (-122.1812895 37.7296625, -122.18224712603997 37.730051096115666, -122.1824102117256 37.730063039161614)"
105th Ave between Russet St & San Leandro St,1,[ 879 ],1,"LINESTRING (-122.17514052168463 37.73530599075267, -122.17479320957632 37.73545646231143)"
Railroad Ave between 85th Ave and Louisana St | Railroad Ave between Louisiana St and 85th Ave,3,[ 51 111 877],3,"LINESTRING (-122.1852795 37.7406871, -122.19082620261868 37.74553675286793)"
E 12th St between 22nd Ave and 23rd Ave,1,[ 546 ],1,"LINESTRING (-122.2387748 37.7836627, -122.23682285725972 37.78249873302764)"
Lake Merritt: Amphitheater/ 12th St between Lake Merritt Blvd and 11th St,1,[ 1241 ],1,"LINESTRING (-122.26186939671882 37.798995520264775, -122.26230902346214 37.799037205612855, -122.26287174569357 37.7992039467699, -122.26325861722768 37.79923173703724)"
Poplar St between 20th St and 21st St,2,[868 956],2,"LINESTRING (-122.2875384 37.8151348, -122.28771425069732 37.81460342589485)"
3902 Manila Ave/Manila between 38th & 40th St,6,[1813 1824 1828 1847 1953 2101],1,"LINESTRING (-122.25882724306824 37.82639188945718, -122.25780730902375 37.828023942284226)"
Bernhardt Dr between Islenton Ave and Kerwin Ave,1,[ 812 ],1,"LINESTRING (-122.1856275 37.7293025, -122.1852243 37.728843)"
Bernhardt Dr between Hunter Ave and Isleton Ave,1,[ 813 ],1,"LINESTRING (-122.1860406 37.7297683, -122.1856275 37.7293025)"
Bernhardt Dr between Ghormley Ave and Hunter Ave,1,[ 814 ],1,"LINESTRING (-122.1864457 37.7302342, -122.1860406 37.7297683)"
Bernhardt Dr between Foster Ave and Ghormley Ave,1,[ 815 ],1,"LINESTRING (-122.186853 37.7306913, -122.1864457 37.7302342)"
Bernhardt Dr between Saint Elmo Dr and Foster Ave,1,[ 816 ],1,"LINESTRING (-122.186848152496 37.730697418663645, -122.18693844336228 37.73079915488634, -122.18697628944129 37.730945182920784, -122.18692667303277 37.73128051048886, -122.18677394376714 37.732110126483256)"
Moorpark St between Pippin St and Russet St,1,[ 2162 ],1,"LINESTRING (-122.1731836 37.7325776, -122.172551 37.733039)"
Coral Rd between Tunist Rd & Sextus Rd,1,[ 1175 ],1,"LINESTRING (-122.19077463811513 37.73328254839513, -122.19049549689086 37.73294113109766, -122.19046803050266 37.73273631968695, -122.19053561838969 37.732375732130286)"
Coral Rd between Cairo Rd & Sextus Rd,1,[ 1176 ],1,"LINESTRING (-122.1913279 37.7339157, -122.1907766 37.7332841)"
Russet St between 107th and Moorpark St,1,[ 2165 ],1,"LINESTRING (-122.1739563 37.7342672, -122.172551 37.733039)"
Cary Ave between Hale Ave and Edes Ave,1,[ 1544 ],1,"LINESTRING (-122.1795431 37.7343794, -122.1796621647829 37.73401761740032, -122.17980376378438 37.733726989010506, -122.1801881039312 37.73316439319789, -122.1807844 37.7332617)"
Pearmain St between Gravenstein St and 105th Ave,1,[ 68 ],1,"LINESTRING (-122.176614 37.7345476, -122.1769025 37.7347994)"
San Leandro St between 106th Ave and 107th Ave,2,[ 880 1301],2,"LINESTRING (-122.1739655 37.7350317, -122.17338 37.7345431)"
Pearmain St between Apple St and Gravenstein St,1,[ 69 ],1,"LINESTRING (-122.1774487 37.7352838, -122.1769025 37.7347994)"
Pearmain St between Tartarian St and Apple St,1,[ 70 ],1,"LINESTRING (-122.1774487 37.7352838, -122.1780064 37.7357681)"
Russet St between 105th Ave and 107th Ave,1,[ 2164 ],1,"LINESTRING (-122.1750922 37.7353454, -122.1739563 37.7342672)"
San Leandro St between 105th Ave and 106th Ave,3,[ 881 1302 1635],3,"LINESTRING (-122.17455637780849 37.73554531309115, -122.1739655 37.7350317)"
San Leandro St between Apple St and 105th Ave,2,[1229 1303],2,"LINESTRING (-122.1750922 37.7353454, -122.1762348 37.7361639)"
San Leandro St between Stone St and Apple St,2,[1228 1304],2,"LINESTRING (-122.1762348 37.7361639, -122.1773696 37.7371285)"
Pearmain St between Stone St and Tartarian St,1,[ 71 ],1,"LINESTRING (-122.1785726 37.7362568, -122.1780064 37.7357681)"
Stone St between Pippin St and Pearmain St,1,[ 65 ],1,"LINESTRING (-122.1785726 37.7362568, -122.1779313 37.7367201)"
Edes Ave between 98th Ave and Douglas Ave: 9910 Edes,3,[1478 1545 2019],3,"LINESTRING (-122.183309 37.7364457, -122.18138875576197 37.73591281258266, -122.1808385501162 37.73550202940835)"
98th Ave between Edes Ave and Walter Ave,1,[ 79 ],1,"LINESTRING (-122.183309 37.7364457, -122.1826762 37.7369864)"
Stone St between San Leandro St and Pippin St,1,[ 66 ],1,"LINESTRING (-122.1779313 37.7367201, -122.1773696 37.7371285)"
Pearmain St between Douglas Ave and Stone St,1,[ 72 ],1,"LINESTRING (-122.1791312 37.7367449, -122.1785726 37.7362568)"
Walter Ave between Nevada St and 98th Ave,2,[  53 1873],2,"LINESTRING (-122.1826762 37.7369864, -122.1834082 37.7376248)"
E St between 104th Ave & 105th Ave,1,[ 1148 ],1,"LINESTRING (-122.173181 37.73705959999999, -122.1727173 37.7364631)"
Pearmain St between Douglas Ave and 100th Ave | Pearmain St between 100th Ave and Douglas Ave,3,[  73 1862 1863],2,"LINESTRING (-122.1796874 37.7372321, -122.1791312 37.7367449)"
100th Ave between Pippin St and Pearmain St,1,[ 63 ],1,"LINESTRING (-122.1796874 37.7372321, -122.1790479 37.7376947)"
Pearmain St between 100th Ave and Prune St,1,[ 74 ],1,"LINESTRING (-122.1796874 37.7372321, -122.180257 37.7377288)"
Clara St between Edes & Oscar Ave,1,[ 1165 ],1,"LINESTRING (-122.1875102 37.7375828, -122.18737743447524 37.73804829982865, -122.1863802 37.7387839)"
Walter Ave between Tyler St and Nevada St,2,[  52 1872],2,"LINESTRING (-122.1834082 37.7376248, -122.1841067 37.738234)"
E St between 103rd Ave and 104th Ave,1,[ 1149 ],1,"LINESTRING (-122.1736252 37.7376387, -122.173181 37.73705959999999)"
98th Ave between Walter Ave and Railroad Ave,1,[ 78 ],1,"LINESTRING (-122.1818052 37.737662, -122.1826762 37.7369864)"
Railroad Ave between Nevada St and 98th Ave,3,[  46  106 1640],3,"LINESTRING (-122.1818052 37.737662, -122.1825084 37.7382765)"
